shiftdate,grupo,bono,mes,timestamp_ingesta
2023-01-09T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-10T00:00:00.000+0000,G1,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-10T00:00:00.000+0000,G2,0.37,202301,2023-09-06T01:55:45.230+0000
2023-01-11T00:00:00.000+0000,G3,0.648,202301,2023-09-06T01:55:45.230+0000
2023-01-11T00:00:00.000+0000,G4,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-12T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-12T00:00:00.000+0000,G4,0.298,202301,2023-09-06T01:55:45.230+0000
2023-01-13T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-13T00:00:00.000+0000,G4,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-14T00:00:00.000+0000,G3,0.586,202301,2023-09-06T01:55:45.230+0000
2023-01-14T00:00:00.000+0000,G4,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-15T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-15T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-16T00:00:00.000+0000,G3,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-16T00:00:00.000+0000,G4,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-17T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-17T00:00:00.000+0000,G4,0.606,202301,2023-09-06T01:55:45.230+0000
2023-01-18T00:00:00.000+0000,G1,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-18T00:00:00.000+0000,G2,0.576,202301,2023-09-06T01:55:45.230+0000
2023-01-19T00:00:00.000+0000,G1,0.278,202301,2023-09-06T01:55:45.230+0000
2023-01-19T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-20T00:00:00.000+0000,G1,0.37,202301,2023-09-06T01:55:45.230+0000
2023-01-20T00:00:00.000+0000,G2,0.617,202301,2023-09-06T01:55:45.230+0000
2023-01-21T00:00:00.000+0000,G1,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-21T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-22T00:00:00.000+0000,G1,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-22T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-23T00:00:00.000+0000,G1,0.617,202301,2023-09-06T01:55:45.230+0000
2023-01-23T00:00:00.000+0000,G2,0.37,202301,2023-09-06T01:55:45.230+0000
2023-01-24T00:00:00.000+0000,G1,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-24T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-25T00:00:00.000+0000,G3,0.648,202301,2023-09-06T01:55:45.230+0000
2023-01-25T00:00:00.000+0000,G4,0.606,202301,2023-09-06T01:55:45.230+0000
2023-01-26T00:00:00.000+0000,G3,0.37,202301,2023-09-06T01:55:45.230+0000
2023-01-26T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-27T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-27T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-28T00:00:00.000+0000,G3,0.637,202301,2023-09-06T01:55:45.230+0000
2023-01-28T00:00:00.000+0000,G4,0.278,202301,2023-09-06T01:55:45.230+0000
2023-01-29T00:00:00.000+0000,G3,0.576,202301,2023-09-06T01:55:45.230+0000
2023-01-29T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-30T00:00:00.000+0000,G3,0.648,202301,2023-09-06T01:55:45.230+0000
2023-01-30T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-31T00:00:00.000+0000,G3,0.278,202301,2023-09-06T01:55:45.230+0000
2023-01-31T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-02T00:00:00.000+0000,G3,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-02T00:00:00.000+0000,G4,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-03T00:00:00.000+0000,G3,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-03T00:00:00.000+0000,G4,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-04T00:00:00.000+0000,G1,0.617,202301,2023-09-06T01:55:45.230+0000
2023-01-04T00:00:00.000+0000,G2,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-05T00:00:00.000+0000,G1,0.627,202301,2023-09-06T01:55:45.230+0000
2023-01-05T00:00:00.000+0000,G2,0.648,202301,2023-09-06T01:55:45.230+0000
2023-01-06T00:00:00.000+0000,G1,0.658,202301,2023-09-06T01:55:45.230+0000
2023-01-06T00:00:00.000+0000,G2,0.27,202301,2023-09-06T01:55:45.230+0000
2023-01-07T00:00:00.000+0000,G1,0.555,202301,2023-09-06T01:55:45.230+0000
2023-01-07T00:00:00.000+0000,G2,0.596,202301,2023-09-06T01:55:45.230+0000
2023-01-08T00:00:00.000+0000,G1,0.648,202301,2023-09-06T01:55:45.230+0000
2023-01-08T00:00:00.000+0000,G2,0.627,202301,2023-09-06T01:55:45.230+0000
2023-01-09T00:00:00.000+0000,G1,0.637,202301,2023-09-06T01:55:45.230+0000
2023-02-08T00:00:00.000+0000,G3,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-08T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-09T00:00:00.000+0000,G3,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-09T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-10T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-10T00:00:00.000+0000,G4,0.648,202302,2023-09-06T01:52:37.419+0000
2023-02-11T00:00:00.000+0000,G3,0.617,202302,2023-09-06T01:52:37.419+0000
2023-02-11T00:00:00.000+0000,G4,0.555,202302,2023-09-06T01:52:37.419+0000
2023-02-12T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-12T00:00:00.000+0000,G4,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-13T00:00:00.000+0000,G3,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-13T00:00:00.000+0000,G4,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-14T00:00:00.000+0000,G3,0.606,202302,2023-09-06T01:52:37.419+0000
2023-02-14T00:00:00.000+0000,G4,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-15T00:00:00.000+0000,G1,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-15T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
2023-02-16T00:00:00.000+0000,G1,0.658,202302,2023-09-06T01:52:37.419+0000
2023-02-16T00:00:00.000+0000,G2,0.27,202302,2023-09-06T01:52:37.419+0000
