grupo,fecha_turno,equipo,shiftdate,hora_exacta,duracion,razon,turno,hora,hos,mes,timestamp_ingesta
G4,01-ENE-2023 A,BH09,2023-01-01T00:00:00.000+0000,21:21:53,23054,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G3,01-ENE-2023 B,BH09,2023-01-01T00:00:00.000+0000,11:29:13,2460,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G3,01-ENE-2023 B,PA11,2023-01-01T00:00:00.000+0000,18:19:39,1042,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,02-ENE-2023 A,CF11,2023-01-02T00:00:00.000+0000,23:07:43,820,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G4,02-ENE-2023 A,PA05,2023-01-02T00:00:00.000+0000,06:30:00,9000,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,02-ENE-2023 B,PA05,2023-01-02T00:00:00.000+0000,09:02:54,11003,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G3,02-ENE-2023 B,CF11,2023-01-02T00:00:00.000+0000,10:37:09,1709,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
G3,02-ENE-2023 B,PA10,2023-01-02T00:00:00.000+0000,19:01:58,723,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G3,03-ENE-2023 B,PA10,2023-01-03T00:00:00.000+0000,18:34:41,899,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G3,03-ENE-2023 B,PA07,2023-01-03T00:00:00.000+0000,19:48:58,1370,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G3,03-ENE-2023 B,PA11,2023-01-03T00:00:00.000+0000,09:45:59,2355,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G3,03-ENE-2023 B,PA10,2023-01-03T00:00:00.000+0000,11:02:53,943,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G4,03-ENE-2023 A,PA11,2023-01-03T00:00:00.000+0000,07:51:43,816,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G3,03-ENE-2023 B,PA03,2023-01-03T00:00:00.000+0000,18:04:55,605,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G1,04-ENE-2023 A,PA11,2023-01-04T00:00:00.000+0000,08:09:06,1161,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G2,04-ENE-2023 B,PA07,2023-01-04T00:00:00.000+0000,19:02:28,844,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G2,04-ENE-2023 B,PA05,2023-01-04T00:00:00.000+0000,10:37:47,6298,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
