shiftdate,grupo,bono,turnos,mes,timestamp_ingesta
2023-01-31T00:00:00.000+0000,G1,7.909,14,202301,2023-09-06T01:55:45.227+0000
2023-01-31T00:00:00.000+0000,G2,8.022,14,202301,2023-09-06T01:55:45.227+0000
2023-01-31T00:00:00.000+0000,G3,8.879,16,202301,2023-09-06T01:55:45.227+0000
2023-01-31T00:00:00.000+0000,G4,7.744,16,202301,2023-09-06T01:55:45.227+0000
2023-08-31T00:00:00.000+0000,G1,8.887,16,202308,2023-09-08T15:27:26.545+0000
2023-08-31T00:00:00.000+0000,G2,8.215,16,202308,2023-09-08T15:27:26.545+0000
2023-08-31T00:00:00.000+0000,G3,8.049,15,202308,2023-09-08T15:27:26.545+0000
2023-08-31T00:00:00.000+0000,G4,7.908,15,202308,2023-09-08T15:27:26.545+0000
2023-06-30T00:00:00.000+0000,G1,7.328,14,202306,2023-09-06T01:56:18.639+0000
2023-06-30T00:00:00.000+0000,G2,7.674,14,202306,2023-09-06T01:56:18.639+0000
2023-06-30T00:00:00.000+0000,G3,9.464,16,202306,2023-09-06T01:56:18.639+0000
2023-06-30T00:00:00.000+0000,G4,7.662,16,202306,2023-09-06T01:56:18.639+0000
2023-07-31T00:00:00.000+0000,G1,8.597,14,202307,2023-09-06T01:56:49.552+0000
2023-07-31T00:00:00.000+0000,G2,7.685,14,202307,2023-09-06T01:56:49.552+0000
2023-07-31T00:00:00.000+0000,G3,10.644,17,202307,2023-09-06T01:56:49.552+0000
2023-07-31T00:00:00.000+0000,G4,8.935,17,202307,2023-09-06T01:56:49.552+0000
2023-04-30T00:00:00.000+0000,G1,9.134,16,202304,2023-09-06T01:53:31.860+0000
2023-04-30T00:00:00.000+0000,G2,8.108,16,202304,2023-09-06T01:53:31.860+0000
2023-04-30T00:00:00.000+0000,G3,8.416,14,202304,2023-09-06T01:53:31.860+0000
2023-04-30T00:00:00.000+0000,G4,5.694,14,202304,2023-09-06T01:53:31.860+0000
2023-05-31T00:00:00.000+0000,G1,8.114,16,202305,2023-09-06T01:54:14.231+0000
2023-05-31T00:00:00.000+0000,G2,8.501,16,202305,2023-09-06T01:54:14.231+0000
2023-05-31T00:00:00.000+0000,G3,8.123,15,202305,2023-09-06T01:54:14.231+0000
2023-05-31T00:00:00.000+0000,G4,7.158,15,202305,2023-09-06T01:54:14.231+0000
2023-09-30T00:00:00.000+0000,G1,8.946,16,202309,2023-10-03T13:31:57.539+0000
2023-09-30T00:00:00.000+0000,G2,8.511,16,202309,2023-10-03T13:31:57.539+0000
2023-09-30T00:00:00.000+0000,G3,7.485,14,202309,2023-10-03T13:31:57.539+0000
2023-09-30T00:00:00.000+0000,G4,6.984,14,202309,2023-10-03T13:31:57.539+0000
2023-03-31T00:00:00.000+0000,G1,9.236,17,202303,2023-09-06T01:53:08.257+0000
2023-03-31T00:00:00.000+0000,G2,8.54,17,202303,2023-09-06T01:53:08.257+0000
2023-03-31T00:00:00.000+0000,G3,8.076,14,202303,2023-09-06T01:53:08.257+0000
2023-03-31T00:00:00.000+0000,G4,6.512,14,202303,2023-09-06T01:53:08.257+0000
2023-02-28T00:00:00.000+0000,G1,6.45,14,202302,2023-09-06T01:52:37.416+0000
2023-02-28T00:00:00.000+0000,G2,6.847,14,202302,2023-09-06T01:52:37.416+0000
2023-02-28T00:00:00.000+0000,G3,7.955,14,202302,2023-09-06T01:52:37.416+0000
2023-02-28T00:00:00.000+0000,G4,7.084,14,202302,2023-09-06T01:52:37.416+0000
